# Wavelength(micron)  Throughput
0.55      0.000
0.56      0.230
0.57      0.740
0.58      0.910
0.59      0.980
0.60      1.000
0.61      0.980
0.62      0.960
0.63      0.930
0.64      0.900
0.65      0.860
0.66      0.810
0.67      0.780
0.68      0.720
0.69      0.670
0.70      0.610
0.71      0.560
0.72      0.510
0.73      0.460
0.74      0.400
0.75      0.350
0.80      0.140
0.85      0.030
0.90      0.000
